reg_no,title,category,publisher,shelf
A-0001,โภชนาการพื้นฐาน เล่ม 1,สังคมศึกษา,History Press,ชั้น A9
A-0002,ฐานข้อมูลพื้นฐาน 2024: Workshop,คอมพิวเตอร์,ABC Publishing,ชั้น A6
A-0003,เคมีขั้นสูง 2024,เทคโนโลยี,History Press,ชั้น E6
A-0004,โภชนาการคู่มือ 2026,นิยาย,Learning Co.,ชั้น A1
A-0005,ความปลอดภัยไซเบอร์ขั้นกลาง 2026,วิทยาศาสตร์,History Press,ชั้น E9
A-0006,การตลาดพื้นฐาน เล่ม 2,ธุรกิจ,TechWorld,ชั้น D9
A-0007,เศรษฐศาสตร์เบื้องต้น 2025,ศิลปะ,XYZ Press,ชั้น D6
A-0008,กฎหมายเบื้องต้นสำหรับผู้เริ่มต้น,การศึกษา,ABC Publishing,ชั้น E3
A-0009,ภูมิศาสตร์ฉบับสมบูรณ์ เล่ม 2,การศึกษา,EduPlus,ชั้น B8
A-0010,ปรัชญาสำหรับผู้เริ่มต้น เล่ม 3,สังคมศึกษา,Siam Knowledge,ชั้น B8
A-0011,เครือข่ายคอมพิวเตอร์พื้นฐาน,เทคโนโลยี,BookHub,ชั้น B6
A-0012,ฟิสิกส์เชิงปฏิบัติ 2026,อ้างอิง,BookHub,ชั้น D6
A-0013,ภูมิศาสตร์สำหรับผู้เริ่มต้น เล่ม 1,คอมพิวเตอร์,TechWorld,ชั้น C6
A-0014,เศรษฐศาสตร์พื้นฐาน ฉบับปรับปรุง,นิยาย,BookHub,ชั้น C1
A-0015,เคมีเชิงปฏิบัติ 2026,อ้างอิง,ThaiBooks,ชั้น A10
A-0016,เศรษฐศาสตร์ขั้นกลาง ฉบับปรับปรุง,เทคโนโลยี,Learning Co.,ชั้น E8
A-0017,ศิลปะเพื่อการสื่อสาร,สังคมศึกษา,Science House,ชั้น D3
A-0018,วรรณคดีไทยพื้นฐาน เล่ม 1,วิทยาศาสตร์,Siam Knowledge,ชั้น B1
A-0019,ปัญญาประดิษฐ์เพื่อการสื่อสาร: Workshop,นิยาย,ThaiBooks,ชั้น D4
A-0020,เศรษฐศาสตร์คู่มือ เล่ม 1,การศึกษา,Siam Knowledge,ชั้น D5
A-0021,ความปลอดภัยไซเบอร์ฉบับสมบูรณ์ Edition 3: Workshop,วิทยาศาสตร์,ThaiBooks,ชั้น A1
A-0022,ฐานข้อมูลฉบับสมบูรณ์ 2024,เทคโนโลยี,XYZ Press,ชั้น E1
A-0023,กฎหมายเบื้องต้นคู่มือ,ธุรกิจ,Science House,ชั้น D5
A-0024,ความปลอดภัยไซเบอร์คู่มือ เล่ม 1,สุขภาพ,ABC Publishing,ชั้น A8
A-0025,การพัฒนาซอฟต์แวร์สำหรับผู้เริ่มต้น ฉบับพิมพ์ครั้งที่ 2,สังคมศึกษา,NextGen Media,ชั้น A6
A-0026,ชีววิทยาเชิงปฏิบัติ เล่ม 2,เทคโนโลยี,Science House,ชั้น A9
A-0027,การออกแบบกราฟิกเชิงปฏิบัติ 2024,เทคโนโลยี,NextGen Media,ชั้น C8
A-0028,เคมีคู่มือ ฉบับปรับปรุง,ศิลปะ,Siam Knowledge,ชั้น E2
A-0029,บัญชีเชิงปฏิบัติ 2024,สังคมศึกษา,History Press,ชั้น A5
A-0030,การตลาดเบื้องต้น,นิยาย,History Press,ชั้น A1
A-0031,ชีววิทยาเบื้องต้น ฉบับปรับปรุง: แนวคิดและแบบฝึกหัด,ธุรกิจ,XYZ Press,ชั้น D3
A-0032,ภูมิศาสตร์ฉบับสมบูรณ์ 2025,วิทยาศาสตร์,BookHub,ชั้น D7
A-0033,ศิลปะเชิงปฏิบัติ ฉบับปรับปรุง,ศิลปะ,History Press,ชั้น A7
A-0034,ประวัติศาสตร์เพื่อการสื่อสาร Edition 3,สุขภาพ,BookHub,ชั้น A4
